Year,sex,age,pops,Age,Sex
2014,men,40,4953000,age40_44,/men
2014,men,45,4322000,age45_49,/men
2014,men,50,3907000,age50_54,/men
2014,men,55,3784000,age55_59,/men
2014,men,60,4462000,age60_64,/men
2014,men,65,4457000,age65_69,/men
2014,men,70,3570000,age70_74,/men
2014,men,75,2787000,age75_79,/men
2014,men,80,3365000,age80_,/men
2014,women,0,2541000,age00_04,/women
2014,women,5,2595000,age05_09,/women
2014,women,10,2778000,age10_14,/women
2014,women,15,2934000,age15_19,/women
2014,women,20,3014000,age20_24,/women
2014,women,25,3265000,age25_29,/women
2014,women,30,3677000,age30_34,/women
2014,women,35,4288000,age35_39,/women
2014,women,40,4835000,age40_44,/women
2014,women,45,4270000,age45_49,/women
2014,women,50,3894000,age50_54,/women
2014,women,55,3835000,age55_59,/women
2014,women,60,4631000,age60_64,/women
2014,women,65,4792000,age65_69,/women
2014,women,70,4110000,age70_74,/women
2014,women,75,3522000,age75_79,/women
2014,women,80,6310000,age80_,/women
2015,men,0,2560000,age00_04,/men
2015,men,5,2724000,age05_09,/men
2015,men,10,2882000,age10_14,/men
2015,men,15,3115000,age15_19,/men
2015,men,20,3118000,age20_24,/men
2015,men,25,3336000,age25_29,/men
2015,men,30,3752000,age30_34,/men
2015,men,35,4266000,age35_39,/men
2015,men,40,4982000,age40_44,/men
2015,men,45,4485000,age45_49,/men
2015,men,50,3974000,age50_54,/men
2015,men,55,3781000,age55_59,/men
2015,men,60,4215000,age60_64,/men
2015,men,65,4738000,age65_69,/men
2015,men,70,3575000,age70_74,/men
2015,men,75,2831000,age75_79,/men
2015,men,80,3507000,age80_,/men
2015,women,0,2444000,age00_04,/women
2015,women,5,2593000,age05_09,/women
2015,women,10,2744000,age10_14,/women
2015,women,15,2946000,age15_19,/women
2015,women,20,2966000,age20_24,/women
2015,women,25,3204000,age25_29,/women
2015,women,30,3646000,age30_34,/women
2015,women,35,4147000,age35_39,/women
2015,women,40,4853000,age40_44,/women
2015,women,45,4407000,age45_49,/women
2015,women,50,3942000,age50_54,/women
2015,women,55,3812000,age55_59,/women
2015,women,60,4349000,age60_64,/women
2015,women,65,5055000,age65_69,/women
2015,women,70,4102000,age70_74,/women
2015,women,75,3553000,age75_79,/women
2015,women,80,6491000,age80_,/women
2016,men,0,2551000,age00_04,/men
2016,men,5,2712000,age05_09,/men
2016,men,10,2834000,age10_14,/men
2016,men,15,3092000,age15_19,/men
2016,men,20,3161000,age20_24,/men
2016,men,25,3284000,age25_29,/men
2016,men,30,3696000,age30_34,/men
2016,men,35,4130000,age35_39,/men
2016,men,40,4919000,age40_44,/men
2016,men,45,4641000,age45_49,/men
2016,men,50,4032000,age50_54,/men
2016,men,55,3775000,age55_59,/men
2016,men,60,4006000,age60_64,/men
2016,men,65,4827000,age65_69,/men
2016,men,70,3577000,age70_74,/men
2016,men,75,2921000,age75_79,/men
2016,men,80,3659000,age80_,/men
2016,women,0,2432000,age00_04,/women
